Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz,
pants,1.840558,763.897049,2196.248269,3071.362690,4150.330182,
pants,1.846808,796.328046,2184.693115,3041.559339,4154.028300,
pants,1.853058,718.057472,2085.089457,3033.764940,4052.729857,
pants,1.859308,619.840350,2105.298210,2919.606098,4053.316000,
pants,1.865558,668.494428,2164.383489,2938.422986,4075.496059,
pants,1.871808,651.652259,2221.894042,2925.564350,4120.741412,
pants,1.878058,653.868878,2281.762324,2911.657576,4099.408872,
pants,1.884308,667.865553,2279.637946,2904.212717,4078.511109,
pants,1.890558,662.510976,2268.586740,2913.314806,4083.011602,
pants,1.896808,656.212952,2262.126368,2953.531945,4085.970571,
pants,1.903058,654.060542,2267.106887,2945.312732,4067.976022,
pants,1.909308,669.974001,2264.617570,2950.453512,4076.622623,
pants,1.915558,663.450614,2270.235908,2978.063488,4069.248910,
pants,1.921808,644.652557,2247.047251,3009.970454,4063.266614,
pants,1.928058,630.101413,2231.731162,3016.419657,4060.833448,
pants,1.934308,615.336136,2232.807738,3034.942125,4073.795311,
pants,1.940558,584.141244,2255.647771,3046.149535,4072.548002,
pants,1.946808,543.232663,2254.731460,3055.844209,4079.397272,
pants,1.953058,528.474596,2239.829648,3058.373959,4107.530429,
pants,1.959308,536.318590,2227.332455,3055.157344,4127.618913,
pants,1.965558,535.041478,2216.508281,3068.173840,4172.390822,
pants,1.971808,506.652961,2206.582989,3066.540373,4204.566948,
pants,1.978058,485.303340,2179.272604,3067.006833,4227.294603,
pants,1.984308,446.863979,2094.765946,3083.104093,4265.742764,
pants,1.990558,424.675491,2076.391287,3085.011450,4332.461437,
pants,1.996808,406.864906,2081.890383,3085.460331,4375.296624,
pants,2.003058,395.805271,2075.866680,3119.082179,4479.654544,
pants,2.009308,383.598313,2078.127486,3139.516730,4522.699163,
pants,2.015558,372.745259,2081.428025,3149.335819,4525.334138,
pants,2.021808,340.431410,2096.123258,3112.859495,4528.701078,
pants,2.028058,276.658167,2090.999651,2607.210307,4541.734523,
pants,2.034308,253.453595,1749.511637,2659.158622,4503.484676,
pants,2.040558,245.986137,1741.729283,2762.138959,4344.493302,
pants,2.046808,275.374510,1688.784091,2864.404745,4314.227846,
pants,2.053058,303.426091,1665.867263,2783.421586,3782.836064,
pants,2.059308,245.920198,1780.953531,2682.799121,3706.296325,
pants,2.065558,1852.082986,2703.156479,4327.084004,5095.721796,
pants,2.071808,1439.591125,2597.381590,3958.070929,5049.417819,
pants,2.078058,1462.402696,2563.050341,3963.109509,4969.883382,
pants,2.084308,1664.026648,2902.818385,4298.434089,4930.580213,
pants,2.090558,1711.771124,2882.048373,3967.813612,4750.464503,
pants,2.096808,1724.610958,3217.417617,3836.509309,4760.057512,
pants,2.103058,1773.707545,3332.537434,4145.126337,4965.080071,
pants,2.109308,1780.744762,3153.724207,3999.985477,4714.312716,
pants,2.115558,1819.482151,2996.994899,3923.896151,4634.930371,
pants,2.121808,1917.913882,3174.481920,4065.622978,4577.772497,
pants,2.128058,346.870554,2003.349137,3524.048899,4225.593814,
pants,2.134308,1910.519539,2668.408667,3855.165791,4291.337187,
pants,2.140558,1754.467662,1873.998418,3910.386800,4184.244097,
pants,2.146808,1875.164387,3062.829860,4109.239607,4752.040666,
pants,2.153058,1849.201690,3046.270323,3967.691600,4517.194155,
pants,2.159308,1812.586032,3003.313741,3869.680215,4665.830169,
pants,2.165558,1836.238922,2856.543308,3866.244489,4737.044996,
pants,2.171808,1887.074367,3452.743558,3909.272178,4691.323875,
pants,2.178058,1844.745022,3220.965031,3953.052572,4688.462305,
pants,2.184308,399.885557,1839.731412,3239.956735,3887.789565,
pants,2.190558,460.100630,1801.173408,2971.748202,3897.877409,
pants,2.196808,474.082438,1786.011101,3097.357934,4005.779056,
pants,2.203058,399.599679,1809.578891,3387.109847,4138.186755,
pants,2.209308,313.340116,1904.645784,3376.977184,4158.601200,
pants,2.215558,224.200692,1914.917713,3402.451122,4101.153991,
pants,2.221808,1930.353840,3526.470399,4051.581999,4848.542051,
pants,2.228058,1933.171475,3674.664946, --undefined--,   --undefined--,
pants,2.234308,105.328028,1832.226702,3698.174835,4183.431096,
pants,2.240558,1898.987420,3754.079266, --undefined--,   --undefined--,
pants,2.246808,1910.293635,3869.806769, --undefined--,   --undefined--,
pants,2.253058,486.399011,1962.957673,3832.398631,4083.862010,
pants,2.259308,1809.480269,3134.150669, --undefined--,   --undefined--,
pants,2.265558,1608.029924,3076.372294, --undefined--,   --undefined--,
pants,2.271808,1769.414321,2978.335008, --undefined--,   --undefined--,
pants,2.278058,1691.629280,2785.845904, --undefined--,   --undefined--,
pants,2.284308,885.521804,2372.998961,3184.809100,4104.140199,
look,2.290558,328.664975,2172.131090,3519.160688,4181.400576,
look,2.296808,1969.215158,3200.879567, --undefined--,   --undefined--,
look,2.303058,687.320661,2106.862209,3238.041410,4198.561412,
look,2.309308,1617.998679,3039.588930, --undefined--,   --undefined--,
look,2.315558,1499.079554,3049.982625, --undefined--,   --undefined--,
look,2.321808,1389.311786,3033.238208,3654.353234,4653.402703,
look,2.328058,298.217156,1445.625020,3013.203790,3447.559488,
look,2.334308,356.019028,1442.281858,3009.605051,3384.191248,
look,2.340558,393.241890,1412.102004,2998.452257,3246.821716,
look,2.346808,397.918954,1391.287142,2991.213993,3248.910790,
look,2.353058,394.177373,1402.768452,3013.194846,3260.098636,
look,2.359308,395.658864,1398.665025,3002.931281,3236.966520,
look,2.365558,400.927878,1424.381846,3026.995891,3195.269565,
look,2.371808,408.714114,1626.828132,3105.898013,3634.995282,
look,2.378058,423.966441,1647.791858,2971.694325,3732.394892,
look,2.384308,423.552862,1473.917957,2966.759433,3867.518811,
look,2.390558,414.097125,1437.245196,2891.699525,3956.548319,
look,2.396808,410.058901,1413.731976,2920.247035,4013.227597,
look,2.403058,410.815279,1390.310365,2928.558518,4046.355421,
look,2.409308,412.449086,1367.531878,2887.122579,3969.616322,
look,2.415558,409.683175,1347.746683,2837.659042,3978.628163,
look,2.421808,404.001820,1313.790003,2809.772157,3955.535536,
look,2.428058,395.113112,1254.410445,2823.148696,3957.087860,
look,2.434308,377.688045,1172.942274,2891.633305,3973.600674,
look,2.440558,342.670969,1105.583475,2974.872972,4017.373267,
look,2.446808,283.422733,1119.548485,2972.849225,4021.606844,
look,2.453058,244.578027,1300.850760,2980.826028,4147.569743,
look,2.459308,279.212687,1333.630903,2949.198857,4053.709933,
look,2.465558,344.338358,1292.056161,2920.406981,3847.812885,
look,2.471808,356.830154,1270.415735,2912.606125,3854.755119,
look,2.478058,371.491085,1269.188362,2938.469014,4016.652793,
look,2.484308,365.884570,1439.209373,3415.342277,4015.122719,
